"","rwgrp","rwgrpBySite","Year","std","site","lagwidth","siteMAP","siteMAT","ppt0cold","ppt0warm","ppt1cold","ppt1warm","ppt2cold","ppt2warm","ppt3cold","ppt3warm","ppt4cold","ppt4warm","tmean0cold","tmean0warm","tmean1cold","tmean1warm","tmean2cold","tmean2warm","tmean3cold","tmean3warm","tmean4cold","tmean4warm","vpdMax0cold","vpdMax0warm","vpdMax1cold","vpdMax1warm","vpdMax2cold","vpdMax2warm","vpdMax3cold","vpdMax3warm","vpdMax4cold","vpdMax4warm"
"1",2,2,1928,0.743056636198183,"az610",NA,691.356201151163,7.63114519587145,227.526,174.618,442.755,425.115,319.562,293.16,297.464,325.558,300.566,214.667,1.77550001666667,13.1871672166667,2.31133355666667,12.5743339833333,1.014000025,13.1553339,1.15016668333333,12.93050075,0.8901667,12.7113340166667,10.3568333333333,24.4655,10.0921666666667,21.328,8.8585,23.37,10.7558333333333,23.3836666666667,9.03,22.9305
"2",2,2,1929,0.800261158433861,"az610",0.743056636198183,691.356201151163,7.63114519587145,366.939,348.626,227.526,174.618,442.755,425.115,319.562,293.16,297.464,325.558,0.231499988333333,12.80600105,1.77550001666667,13.1871672166667,2.31133355666667,12.5743339833333,1.014000025,13.1553339,1.15016668333333,12.93050075,8.85616666666667,22.1793333333333,10.3568333333333,24.4655,10.0921666666667,21.328,8.8585,23.37,10.7558333333333,23.3836666666667
"3",1,1,1930,0.095140152770918,"az610",0.800261158433861,691.356201151163,7.63114519587145,332.07,353.663,366.939,348.626,227.526,174.618,442.755,425.115,319.562,293.16,1.48049995833333,12.1155006666667,0.231499988333333,12.80600105,1.77550001666667,13.1871672166667,2.31133355666667,12.5743339833333,1.014000025,13.1553339,11.0286666666667,21.3358333333333,8.85616666666667,22.1793333333333,10.3568333333333,24.4655,10.0921666666667,21.328,8.8585,23.37
"4",2,2,1931,0.973681183737813,"az610",0.095140152770918,691.356201151163,7.63114519587145,224.187,345.245,332.07,353.663,366.939,348.626,227.526,174.618,442.755,425.115,0.653166741666667,13.4470007666667,1.48049995833333,12.1155006666667,0.231499988333333,12.80600105,1.77550001666667,13.1871672166667,2.31133355666667,12.5743339833333,9.47716666666667,23.311,11.0286666666667,21.3358333333333,8.85616666666667,22.1793333333333,10.3568333333333,24.4655,10.0921666666667,21.328
"5",1,2,1932,0.336603451892045,"az610",0.973681183737813,691.356201151163,7.63114519587145,540.897,238.464,224.187,345.245,332.07,353.663,366.939,348.626,227.526,174.618,-0.441499998333333,12.6248340833333,0.653166741666667,13.4470007666667,1.48049995833333,12.1155006666667,0.231499988333333,12.80600105,1.77550001666667,13.1871672166667,7.81216666666667,22.18,9.47716666666667,23.311,11.0286666666667,21.3358333333333,8.85616666666667,22.1793333333333,10.3568333333333,24.4655
"6",2,2,1933,0.493163196958113,"az610",0.336603451892045,691.356201151163,7.63114519587145,250.496,388.724,540.897,238.464,224.187,345.245,332.07,353.663,366.939,348.626,-0.0426667333333333,12.9895005,-0.441499998333333,12.6248340833333,0.653166741666667,13.4470007666667,1.48049995833333,12.1155006666667,0.231499988333333,12.80600105,9.79083333333333,23.9303333333333,7.81216666666667,22.18,9.47716666666667,23.311,11.0286666666667,21.3358333333333,8.85616666666667,22.1793333333333
"7",1,1,1934,0.313721642997774,"az610",0.493163196958113,691.356201151163,7.63114519587145,274.571,318.466,250.496,388.724,540.897,238.464,224.187,345.245,332.07,353.663,3.54783351666667,13.9936670833333,-0.0426667333333333,12.9895005,-0.441499998333333,12.6248340833333,0.653166741666667,13.4470007666667,1.48049995833333,12.1155006666667,12.5171666666667,23.7511666666667,9.79083333333333,23.9303333333333,7.81216666666667,22.18,9.47716666666667,23.311,11.0286666666667,21.3358333333333
"8",2,2,1935,0.549163413462514,"az610",0.313721642997774,691.356201151163,7.63114519587145,376.269,313.538,274.571,318.466,250.496,388.724,540.897,238.464,224.187,345.245,2.57766669666667,13.2508340666667,3.54783351666667,13.9936670833333,-0.0426667333333333,12.9895005,-0.441499998333333,12.6248340833333,0.653166741666667,13.4470007666667,10.2978333333333,22.401,12.5171666666667,23.7511666666667,9.79083333333333,23.9303333333333,7.81216666666667,22.18,9.47716666666667,23.311
"9",2,2,1936,0.873723808041785,"az610",0.549163413462514,691.356201151163,7.63114519587145,295.852,350.579,376.269,313.538,274.571,318.466,250.496,388.724,540.897,238.464,1.58250007166667,14.0558336666667,2.57766669666667,13.2508340666667,3.54783351666667,13.9936670833333,-0.0426667333333333,12.9895005,-0.441499998333333,12.6248340833333,9.61066666666667,23.6871666666667,10.2978333333333,22.401,12.5171666666667,23.7511666666667,9.79083333333333,23.9303333333333,7.81216666666667,22.18
"10",1,1,1937,0.142108076290738,"az610",0.873723808041785,691.356201151163,7.63114519587145,655.091,259.682,295.852,350.579,376.269,313.538,274.571,318.466,250.496,388.724,-0.117999913333333,13.8943340666667,1.58250007166667,14.0558336666667,2.57766669666667,13.2508340666667,3.54783351666667,13.9936670833333,-0.0426667333333333,12.9895005,8.2015,24.1948333333333,9.61066666666667,23.6871666666667,10.2978333333333,22.401,12.5171666666667,23.7511666666667,9.79083333333333,23.9303333333333
