"","rwgrp","rwgrpBySite","Year","std","site","lagwidth","siteMAP","siteMAT","ppt0cold","ppt0warm","ppt1cold","ppt1warm","ppt2cold","ppt2warm","ppt3cold","ppt3warm","ppt4cold","ppt4warm","tmean0cold","tmean0warm","tmean1cold","tmean1warm","tmean2cold","tmean2warm","tmean3cold","tmean3warm","tmean4cold","tmean4warm","vpdMax0cold","vpdMax0warm","vpdMax1cold","vpdMax1warm","vpdMax2cold","vpdMax2warm","vpdMax3cold","vpdMax3warm","vpdMax4cold","vpdMax4warm"
"1",2,2,1895,1.21051335662255,"ca614",0.600596856428761,542.036926247899,15.3195890394057,NA,65.555,NA,NA,NA,NA,NA,NA,NA,NA,NA,19.1088341666667,NA,NA,NA,NA,NA,NA,NA,NA,NA,27.2765,NA,NA,NA,NA,NA,NA,NA,NA
"2",2,2,1896,1.21558332276579,"ca614",1.21051335662255,542.036926247899,15.3195890394057,392.761,117.732,NA,65.555,NA,NA,NA,NA,NA,NA,11.0538336666667,19.402001,NA,19.1088341666667,NA,NA,NA,NA,NA,NA,12.9546666666667,28.616,NA,27.2765,NA,NA,NA,NA,NA,NA
"3",2,2,1897,1.03808931237814,"ca614",1.21558332276579,542.036926247899,15.3195890394057,539.184,22.476,392.761,117.732,NA,65.555,NA,NA,NA,NA,10.0166670833333,19.8478345,11.0538336666667,19.402001,NA,19.1088341666667,NA,NA,NA,NA,10.8696666666667,27.1371666666667,12.9546666666667,28.616,NA,27.2765,NA,NA,NA,NA
"4",1,1,1898,0.247153251236169,"ca614",1.03808931237814,542.036926247899,15.3195890394057,216.222,76.177,539.184,22.476,392.761,117.732,NA,65.555,NA,NA,9.394667,20.0886671666667,10.0166670833333,19.8478345,11.0538336666667,19.402001,NA,19.1088341666667,NA,NA,10.3506666666667,30.7316666666667,10.8696666666667,27.1371666666667,12.9546666666667,28.616,NA,27.2765,NA,NA
"5",2,2,1899,0.701437747747394,"ca614",0.247153251236169,542.036926247899,15.3195890394057,331.099,56.242,216.222,76.177,539.184,22.476,392.761,117.732,NA,65.555,10.3720002166667,19.2300005,9.394667,20.0886671666667,10.0166670833333,19.8478345,11.0538336666667,19.402001,NA,19.1088341666667,12.067,28.9441666666667,10.3506666666667,30.7316666666667,10.8696666666667,27.1371666666667,12.9546666666667,28.616,NA,27.2765
"6",2,2,1900,0.679393245650136,"ca614",0.701437747747394,542.036926247899,15.3195890394057,389.323,74.957,331.099,56.242,216.222,76.177,539.184,22.476,392.761,117.732,11.1360004166667,19.0281671666667,10.3720002166667,19.2300005,9.394667,20.0886671666667,10.0166670833333,19.8478345,11.0538336666667,19.402001,11.7116666666667,28.2853333333333,12.067,28.9441666666667,10.3506666666667,30.7316666666667,10.8696666666667,27.1371666666667,12.9546666666667,28.616
"7",2,2,1901,1.16495552045085,"ca614",0.679393245650136,542.036926247899,15.3195890394057,496.187,95.639,389.323,74.957,331.099,56.242,216.222,76.177,539.184,22.476,11.2631671666667,19.117001,11.1360004166667,19.0281671666667,10.3720002166667,19.2300005,9.394667,20.0886671666667,10.0166670833333,19.8478345,11.8281666666667,29.6875,11.7116666666667,28.2853333333333,12.067,28.9441666666667,10.3506666666667,30.7316666666667,10.8696666666667,27.1371666666667
"8",2,2,1902,0.985939832900399,"ca614",1.16495552045085,542.036926247899,15.3195890394057,390.643,50.272,496.187,95.639,389.323,74.957,331.099,56.242,216.222,76.177,10.4405001666667,19.1426674166667,11.2631671666667,19.117001,11.1360004166667,19.0281671666667,10.3720002166667,19.2300005,9.394667,20.0886671666667,12.5103333333333,31.0503333333333,11.8281666666667,29.6875,11.7116666666667,28.2853333333333,12.067,28.9441666666667,10.3506666666667,30.7316666666667
"9",2,2,1903,1.0283834594847,"ca614",0.985939832900399,542.036926247899,15.3195890394057,491.192,80.446,390.643,50.272,496.187,95.639,389.323,74.957,331.099,56.242,9.42600048333333,19.7095005,10.4405001666667,19.1426674166667,11.2631671666667,19.117001,11.1360004166667,19.0281671666667,10.3720002166667,19.2300005,11.3386666666667,32.0481666666667,12.5103333333333,31.0503333333333,11.8281666666667,29.6875,11.7116666666667,28.2853333333333,12.067,28.9441666666667
"10",2,2,1904,0.957425265284769,"ca614",1.0283834594847,542.036926247899,15.3195890394057,319.604,191.844,491.192,80.446,390.643,50.272,496.187,95.639,389.323,74.957,11.3326668333333,20.6533336666667,9.42600048333333,19.7095005,10.4405001666667,19.1426674166667,11.2631671666667,19.117001,11.1360004166667,19.0281671666667,14.374,32.5096666666667,11.3386666666667,32.0481666666667,12.5103333333333,31.0503333333333,11.8281666666667,29.6875,11.7116666666667,28.2853333333333
"11",2,2,1905,0.921419997666523,"ca614",0.957425265284769,542.036926247899,15.3195890394057,591.649,90.656,319.604,191.844,491.192,80.446,390.643,50.272,496.187,95.639,11.9063338333333,19.5346678333333,11.3326668333333,20.6533336666667,9.42600048333333,19.7095005,10.4405001666667,19.1426674166667,11.2631671666667,19.117001,13.1655,30.3118333333333,14.374,32.5096666666667,11.3386666666667,32.0481666666667,12.5103333333333,31.0503333333333,11.8281666666667,29.6875
"12",2,2,1906,1.14695974091488,"ca614",0.921419997666523,542.036926247899,15.3195890394057,541.88,82.629,591.649,90.656,319.604,191.844,491.192,80.446,390.643,50.272,10.8765002666667,20.0448336666667,11.9063338333333,19.5346678333333,11.3326668333333,20.6533336666667,9.42600048333333,19.7095005,10.4405001666667,19.1426674166667,12.8941666666667,31.519,13.1655,30.3118333333333,14.374,32.5096666666667,11.3386666666667,32.0481666666667,12.5103333333333,31.0503333333333
"13",2,2,1907,1.08658007921041,"ca614",1.14695974091488,542.036926247899,15.3195890394057,735.723,11.607,541.88,82.629,591.649,90.656,319.604,191.844,491.192,80.446,10.56433405,19.3108341666667,10.8765002666667,20.0448336666667,11.9063338333333,19.5346678333333,11.3326668333333,20.6533336666667,9.42600048333333,19.7095005,12.2246666666667,28.9721666666667,12.8941666666667,31.519,13.1655,30.3118333333333,14.374,32.5096666666667,11.3386666666667,32.0481666666667
"14",2,2,1908,0.877820614557369,"ca614",1.08658007921041,542.036926247899,15.3195890394057,475.716,56.3,735.723,11.607,541.88,82.629,591.649,90.656,319.604,191.844,10.4975005666667,19.8400004166667,10.56433405,19.3108341666667,10.8765002666667,20.0448336666667,11.9063338333333,19.5346678333333,11.3326668333333,20.6533336666667,12.223,32.0003333333333,12.2246666666667,28.9721666666667,12.8941666666667,31.519,13.1655,30.3118333333333,14.374,32.5096666666667
"15",2,2,1909,1.07401261476598,"ca614",0.877820614557369,542.036926247899,15.3195890394057,803.887,19.259,475.716,56.3,735.723,11.607,541.88,82.629,591.649,90.656,9.49300055,19.4343343333333,10.4975005666667,19.8400004166667,10.56433405,19.3108341666667,10.8765002666667,20.0448336666667,11.9063338333333,19.5346678333333,11.1421666666667,31.6355,12.223,32.0003333333333,12.2246666666667,28.9721666666667,12.8941666666667,31.519,13.1655,30.3118333333333
"16",2,2,1910,0.881025119469056,"ca614",1.07401261476598,542.036926247899,15.3195890394057,535.753,49.377,803.887,19.259,475.716,56.3,735.723,11.607,541.88,82.629,9.61233385,20.5916671666667,9.49300055,19.4343343333333,10.4975005666667,19.8400004166667,10.56433405,19.3108341666667,10.8765002666667,20.0448336666667,11.7165,33.1328333333333,11.1421666666667,31.6355,12.223,32.0003333333333,12.2246666666667,28.9721666666667,12.8941666666667,31.519
"17",2,2,1911,0.616777059036607,"ca614",0.881025119469056,542.036926247899,15.3195890394057,754.737,72.44,535.753,49.377,803.887,19.259,475.716,56.3,735.723,11.607,10.4493339166667,18.4018338333333,9.61233385,20.5916671666667,9.49300055,19.4343343333333,10.4975005666667,19.8400004166667,10.56433405,19.3108341666667,12.0761666666667,28.8576666666667,11.7165,33.1328333333333,11.1421666666667,31.6355,12.223,32.0003333333333,12.2246666666667,28.9721666666667
"18",2,2,1912,0.531171044307287,"ca614",0.616777059036607,542.036926247899,15.3195890394057,308.832,98.932,754.737,72.44,535.753,49.377,803.887,19.259,475.716,56.3,10.0671673333333,19.0368336666667,10.4493339166667,18.4018338333333,9.61233385,20.5916671666667,9.49300055,19.4343343333333,10.4975005666667,19.8400004166667,13.284,29.086,12.0761666666667,28.8576666666667,11.7165,33.1328333333333,11.1421666666667,31.6355,12.223,32.0003333333333
"19",1,1,1913,0.45841915272801,"ca614",0.531171044307287,542.036926247899,15.3195890394057,294.468,57.923,308.832,98.932,754.737,72.44,535.753,49.377,803.887,19.259,9.45550041666667,19.8258343333333,10.0671673333333,19.0368336666667,10.4493339166667,18.4018338333333,9.61233385,20.5916671666667,9.49300055,19.4343343333333,12.23,30.3685,13.284,29.086,12.0761666666667,28.8576666666667,11.7165,33.1328333333333,11.1421666666667,31.6355
"20",2,2,1914,1.20333351756543,"ca614",0.45841915272801,542.036926247899,15.3195890394057,792.963,41.448,294.468,57.923,308.832,98.932,754.737,72.44,535.753,49.377,11.1501673333333,19.4535011666667,9.45550041666667,19.8258343333333,10.0671673333333,19.0368336666667,10.4493339166667,18.4018338333333,9.61233385,20.5916671666667,12.6356666666667,29.1471666666667,12.23,30.3685,13.284,29.086,12.0761666666667,28.8576666666667,11.7165,33.1328333333333
"21",3,2,1915,1.52109198316026,"ca614",1.20333351756543,542.036926247899,15.3195890394057,554.442,100.14,792.963,41.448,294.468,57.923,308.832,98.932,754.737,72.44,10.7066669,19.3638341666667,11.1501673333333,19.4535011666667,9.45550041666667,19.8258343333333,10.0671673333333,19.0368336666667,10.4493339166667,18.4018338333333,12.3365,29.9786666666667,12.6356666666667,29.1471666666667,12.23,30.3685,13.284,29.086,12.0761666666667,28.8576666666667
"22",2,2,1916,1.20274827739864,"ca614",1.52109198316026,542.036926247899,15.3195890394057,630.189,15.552,554.442,100.14,792.963,41.448,294.468,57.923,308.832,98.932,10.7710004166667,19.2408341666667,10.7066669,19.3638341666667,11.1501673333333,19.4535011666667,9.45550041666667,19.8258343333333,10.0671673333333,19.0368336666667,13.5231666666667,30.1413333333333,12.3365,29.9786666666667,12.6356666666667,29.1471666666667,12.23,30.3685,13.284,29.086
"23",2,2,1917,1.24439361571726,"ca614",1.20274827739864,542.036926247899,15.3195890394057,534.164,28.704,630.189,15.552,554.442,100.14,792.963,41.448,294.468,57.923,8.51333368333333,20.1086676666667,10.7710004166667,19.2408341666667,10.7066669,19.3638341666667,11.1501673333333,19.4535011666667,9.45550041666667,19.8258343333333,10.7198333333333,32.6133333333333,13.5231666666667,30.1413333333333,12.3365,29.9786666666667,12.6356666666667,29.1471666666667,12.23,30.3685
"24",2,2,1918,1.01640336301043,"ca614",1.24439361571726,542.036926247899,15.3195890394057,486.827,58.752,534.164,28.704,630.189,15.552,554.442,100.14,792.963,41.448,11.0820003833333,20.2558343333333,8.51333368333333,20.1086676666667,10.7710004166667,19.2408341666667,10.7066669,19.3638341666667,11.1501673333333,19.4535011666667,14.575,31.5653333333333,10.7198333333333,32.6133333333333,13.5231666666667,30.1413333333333,12.3365,29.9786666666667,12.6356666666667,29.1471666666667
"25",2,2,1919,0.870660936224126,"ca614",1.01640336301043,542.036926247899,15.3195890394057,295.85,79.743,486.827,58.752,534.164,28.704,630.189,15.552,554.442,100.14,9.71033371666667,20.3516675,11.0820003833333,20.2558343333333,8.51333368333333,20.1086676666667,10.7710004166667,19.2408341666667,10.7066669,19.3638341666667,12.045,31.4118333333333,14.575,31.5653333333333,10.7198333333333,32.6133333333333,13.5231666666667,30.1413333333333,12.3365,29.9786666666667
"26",2,2,1920,0.841002601318203,"ca614",0.870660936224126,542.036926247899,15.3195890394057,345.109,31.278,295.85,79.743,486.827,58.752,534.164,28.704,630.189,15.552,9.946834,19.29383425,9.71033371666667,20.3516675,11.0820003833333,20.2558343333333,8.51333368333333,20.1086676666667,10.7710004166667,19.2408341666667,12.4933333333333,29.1991666666667,12.045,31.4118333333333,14.575,31.5653333333333,10.7198333333333,32.6133333333333,13.5231666666667,30.1413333333333
"27",2,2,1921,0.78121399622125,"ca614",0.841002601318203,542.036926247899,15.3195890394057,368.941,110.611,345.109,31.278,295.85,79.743,486.827,58.752,534.164,28.704,9.91933356666667,19.7130013333333,9.946834,19.29383425,9.71033371666667,20.3516675,11.0820003833333,20.2558343333333,8.51333368333333,20.1086676666667,11.72,30.737,12.4933333333333,29.1991666666667,12.045,31.4118333333333,14.575,31.5653333333333,10.7198333333333,32.6133333333333
"28",2,2,1922,0.688538237344191,"ca614",0.78121399622125,542.036926247899,15.3195890394057,678.796,37.875,368.941,110.611,345.109,31.278,295.85,79.743,486.827,58.752,10.0548339166667,20.5330013333333,9.91933356666667,19.7130013333333,9.946834,19.29383425,9.71033371666667,20.3516675,11.0820003833333,20.2558343333333,12.3871666666667,32.5618333333333,11.72,30.737,12.4933333333333,29.1991666666667,12.045,31.4118333333333,14.575,31.5653333333333
"29",2,2,1923,0.732543826097285,"ca614",0.688538237344191,542.036926247899,15.3195890394057,396.064,115.2,678.796,37.875,368.941,110.611,345.109,31.278,295.85,79.743,10.1715005,19.2288336666667,10.0548339166667,20.5330013333333,9.91933356666667,19.7130013333333,9.946834,19.29383425,9.71033371666667,20.3516675,12.685,28.989,12.3871666666667,32.5618333333333,11.72,30.737,12.4933333333333,29.1991666666667,12.045,31.4118333333333
"30",1,1,1924,0.321829855274509,"ca614",0.732543826097285,542.036926247899,15.3195890394057,182.356,24.761,396.064,115.2,678.796,37.875,368.941,110.611,345.109,31.278,10.5786668833333,20.1296671666667,10.1715005,19.2288336666667,10.0548339166667,20.5330013333333,9.91933356666667,19.7130013333333,9.946834,19.29383425,14.562,32.1995,12.685,28.989,12.3871666666667,32.5618333333333,11.72,30.737,12.4933333333333,29.1991666666667
"31",2,2,1925,0.805082877631319,"ca614",0.321829855274509,542.036926247899,15.3195890394057,231.647,115.634,182.356,24.761,396.064,115.2,678.796,37.875,368.941,110.611,10.4006673833333,19.3753338333333,10.5786668833333,20.1296671666667,10.1715005,19.2288336666667,10.0548339166667,20.5330013333333,9.91933356666667,19.7130013333333,13.3926666666667,28.6456666666667,14.562,32.1995,12.685,28.989,12.3871666666667,32.5618333333333,11.72,30.737
"32",2,2,1926,1.02748800502098,"ca614",0.805082877631319,542.036926247899,15.3195890394057,288.052,197.752,231.647,115.634,182.356,24.761,396.064,115.2,678.796,37.875,11.2480003333333,21.1343346666667,10.4006673833333,19.3753338333333,10.5786668833333,20.1296671666667,10.1715005,19.2288336666667,10.0548339166667,20.5330013333333,13.2218333333333,32.89,13.3926666666667,28.6456666666667,14.562,32.1995,12.685,28.989,12.3871666666667,32.5618333333333
"33",2,2,1927,0.860978440881949,"ca614",1.02748800502098,542.036926247899,15.3195890394057,526.811,34.792,288.052,197.752,231.647,115.634,182.356,24.761,396.064,115.2,10.7376671666667,19.4635003333333,11.2480003333333,21.1343346666667,10.4006673833333,19.3753338333333,10.5786668833333,20.1296671666667,10.1715005,19.2288336666667,12.664,30.8371666666667,13.2218333333333,32.89,13.3926666666667,28.6456666666667,14.562,32.1995,12.685,28.989
